,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-22T03:59:46+00:00,https://www.whatsapp.com/,3g,560,560,560,560,406,471,380,628,749,817,726,976,627,694,594,861,1983,2050,1956,2210,741,809,718,968,delay,400ms,3,0.82,0.69,2450.142,0.42,4325.1545,0.98,2450.142,1,0,1,0.0137546658
0,2021-11-22T04:10:15+00:00,https://www.live.com/,3g,449,449,449,449,118,132,80,199,1840,1863,1788,1960,424,404,344,444,2147,2163,2071,2270,1840,1863,1788,1960,delay,400ms,3,0.41,0.51,2961.495,0.01,10073.959,0.8,4056.859692,0.28,994.5,1,0
0,2021-11-22T04:43:51+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1147,1322,3156,1303,6844,5056,6608,4692,10076,1598,3425,1565,7111,7599,9345,7472,12963,4990,6526,4597,9991,delay,600ms,3,0.16,0.27,3811.91,0.01,9445.6035,0.05,11716.62869,0.01,4140,0.83,0.1258862978
0,2021-11-22T04:32:36+00:00,https://www.canva.com/,3g,4255,4254,4248,4258,557,557,555,560,3663,3698,3649,3782,864,857,839,868,3850,3975,3756,4319,3658,3687,3632,3770,delay,600ms,3,0.5,0.8,2158.204,0.74,3161.311,0.54,5562.882117,0.06,2361,1,0.001323025174
0,2021-11-22T04:35:35+00:00,https://www.whatsapp.com/,3g,560,560,560,560,439,469,400,568,810,819,736,910,659,693,627,792,2050,2051,1964,2139,802,811,728,902,delay,600ms,3,0.81,0.64,2597.879,0.42,4322.879,0.97,2597.879,1,0,1,0.0137546658
0,2021-11-22T04:47:35+00:00,https://www.live.com/,3g,449,449,449,449,165,161,127,190,1895,1892,1859,1921,410,410,377,443,2222,2209,2163,2241,1895,1892,1859,1921,delay,600ms,3,0.43,0.54,2894.313,0.01,9998.909,0.84,3802.080099,0.29,958.5,1,0
0,2021-11-22T05:57:37+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1146,1869,1760,1234,2177,5264,5101,4630,5408,2129,2046,1578,2431,8075,7991,7541,8356,5184,5026,4551,5342,delay,1000ms,3,0.16,0.3,3688.979,0.02,8793.321,0.05,11417.64613,0.01,4647.224,0.78,0.1446130371
0,2021-11-22T05:47:03+00:00,https://www.canva.com/,3g,4255,4254,4248,4258,564,582,545,638,3528,3485,3339,3588,864,876,842,923,3710,4585,3576,6470,3518,3468,3320,3565,delay,1000ms,3,0.49,0.8,2145.381,0.91,2458.381,0.03,12760.36989,0.05,2432.5,1,0.002768866221
0,2021-11-22T05:50:12+00:00,https://www.whatsapp.com/,3g,560,560,560,560,421,425,415,440,758,770,738,815,644,660,627,709,1994,2003,1967,2047,750,762,730,807,delay,1000ms,3,0.8,0.61,2695.205,0.39,4420.205,0.97,2695.205,1,0,1,0.0137546658
0,2021-11-22T06:01:09+00:00,https://www.live.com/,3g,449,449,449,449,195,193,165,218,1933,1950,1925,1991,460,457,417,494,2234,2255,2234,2296,1933,1950,1925,1991,delay,1000ms,3,0.43,0.51,2962.755,0.07,6969.115,0.85,3725.448037,0.26,1033,1,0
