,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-22T12:06:27+00:00,https://www.glassdoor.com/,3g,1146,1147,1146,1148,1166,1194,1142,1274,4674,4777,4588,5068,1417,1458,1413,1543,7339,7490,7321,7811,4605,4706,4506,5008,packetLoss,1.05%,3,0.17,0.35,3500.289,0.02,8747.0835,0.07,10948.67326,0.01,4312.6265,0.78,0.1437426758
0,2021-11-22T11:53:41+00:00,https://www.canva.com/,3g,4255,4255,4251,4259,589,597,570,631,3799,5241,3405,8518,903,901,878,921,3963,6992,3607,13405,3795,5229,3381,8512,packetLoss,1.05%,3,0.49,0.78,2198.517,0.73,3195.32,0.52,5660.774215,0.04,2719,1,0.002768866221
0,2021-11-22T11:56:48+00:00,https://www.whatsapp.com/,3g,560,560,560,560,408,413,400,430,775,786,759,824,627,637,606,677,2014,2010,1989,2027,767,777,750,814,packetLoss,1.05%,3,0.81,0.7,2446.913,0.38,4471.913,0.98,2446.913,1,0,1,0.0137546658
0,2021-11-22T10:51:15+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1146,1099,1844,1084,3348,4307,5044,4023,6801,1378,2214,1343,3921,7275,8102,7207,9824,4231,4965,3945,6719,packetLoss,0.45%,3,0.18,0.45,3152.478,0.01,9296.513,0.04,11930.08986,0.02,3781,0.83,0.127313402
0,2021-11-22T10:39:50+00:00,https://www.canva.com/,3g,4251,4251,4247,4255,566,613,539,733,3796,5229,3234,8658,862,912,845,1030,3869,6848,3345,13329,3786,5211,3209,8638,packetLoss,0.45%,3,0.48,0.8,2129.732,0.64,3519.732,0.53,5637.741157,0.06,2288.5,1,0.002768866221
0,2021-11-22T10:42:53+00:00,https://www.whatsapp.com/,3g,560,560,560,560,431,432,400,466,783,768,712,810,642,646,611,686,2016,1999,1946,2035,775,760,704,802,packetLoss,0.45%,3,0.84,0.69,2451.196,0.51,3950.444,0.98,2451.196,1,0,1,0.0137546658
0,2021-11-22T13:01:24+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1147,1964,2379,1543,3629,5744,7281,4610,11488,2244,4306,1798,8875,8142,10223,7742,14784,5690,7208,4527,11407,packetLoss,1.50%,3,0.16,0.29,3730.325,0.02,8800.1605,0,17902.073,0.02,3831.5,0.77,0.1463085598
0,2021-11-22T12:50:38+00:00,https://www.canva.com/,3g,4248,4251,4247,4259,576,765,557,1163,3686,3865,3525,4385,883,1104,832,1596,3752,3934,3588,4462,3681,3853,3512,4367,packetLoss,1.50%,3,0.5,0.8,2133.667,0.75,3122.377,0.49,5853.408519,0.06,2290.5,1,0.002768866221
0,2021-11-22T12:53:38+00:00,https://www.whatsapp.com/,3g,560,560,560,560,417,479,401,620,794,832,744,959,676,704,610,825,2024,2084,1982,2245,787,825,736,951,packetLoss,1.50%,3,0.82,0.68,2485.251,0.45,4179.757,0.98,2485.251,1,0,1,0.0137546658
0,2021-11-22T11:09:39+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1146,1327,1405,1046,1841,4387,4436,4083,4837,1589,1661,1297,2096,7553,7590,7176,8040,4313,4358,4004,4757,packetLoss,0.60%,3,0.17,0.31,3658.036,0.02,8525.5845,0.08,10481.44969,0.01,4286.5,0.78,0.1437426758
