,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-23T07:19:53+00:00,https://www.live.com/,3g,449,449,449,449,156,158,156,161,1869,1894,1840,1973,429,427,410,441,2178,2194,2136,2269,1869,1894,1839,1973,bandwidth,560Mbps,3,0.43,0.53,2898.68,0.01,9773.048,0.9,3351.929983,0.26,1032,1,0
0,2021-11-23T06:12:27+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1147,1167,1159,1090,1221,4446,4420,4326,4489,1460,1442,1374,1493,7388,7438,7382,7544,4379,4338,4229,4407,bandwidth,320Mbps,3,0.17,0.3,3714.668,0.02,8333.194,0.05,11413.47579,0.01,4330.5,0.83,0.1256178792
0,2021-11-23T06:01:30+00:00,https://www.canva.com/,3g,4248,4251,4248,4258,584,606,578,655,3673,3747,3354,4213,894,900,863,943,4312,4391,3739,5121,3657,3732,3331,4209,bandwidth,320Mbps,3,0.5,0.8,2138.363,0.75,3129.106,0.54,5570.646316,0.06,2347,1,0.0009662272135
0,2021-11-23T06:04:30+00:00,https://www.whatsapp.com/,3g,560,560,560,560,399,394,380,404,757,765,726,813,593,604,593,626,1976,1972,1950,1990,749,751,719,784,bandwidth,320Mbps,3,0.81,0.64,2600.869,0.42,4325.869,0.97,2600.869,1,0,1,0.0137546658
0,2021-11-23T06:15:55+00:00,https://www.live.com/,3g,449,449,449,449,170,5304,137,15604,5995,8405,1840,17379,457,5570,394,15859,6277,8701,2137,17689,5994,8404,1840,17378,bandwidth,320Mbps,3,0.43,0.54,2880.749,0.01,10073.107,0.74,4424.724032,0.32,903.5,1,0
0,2021-11-23T06:29:55+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1146,1147,1227,1137,1398,32979,23606,4194,33644,1393,1488,1393,1677,38117,28124,7462,38792,32899,23534,4134,33569,bandwidth,400Mbps,3,0.16,0.29,3760.213,0.01,9549.208,0.01,14950.63034,0.01,4360.4745,0.82,0.1300050863
0,2021-11-23T06:19:44+00:00,https://www.canva.com/,3g,4248,4249,4248,4252,553,586,545,660,3568,3626,3552,3757,879,883,826,945,3685,4134,3616,5102,3546,3614,3545,3750,bandwidth,400Mbps,3,0.46,0.8,2145.624,0.63,3527.624,0.37,6702.38744,0.06,2279,1,0.001323025174
0,2021-11-23T06:22:42+00:00,https://www.whatsapp.com/,3g,560,560,560,560,425,413,386,427,755,745,718,763,642,630,604,643,1989,1979,1946,2003,748,738,710,755,bandwidth,400Mbps,3,0.81,0.64,2599.714,0.42,4324.714,0.97,2599.714,1,0,1,0.0137546658
0,2021-11-23T06:34:42+00:00,https://www.live.com/,3g,449,449,449,449,162,181,159,222,1914,1899,1868,1916,444,452,430,481,2206,2201,2177,2219,1914,1899,1868,1916,bandwidth,400Mbps,3,0.42,0.46,3114.736,0.01,10080.279,0.79,4122.854951,0.32,904.5,1,0
0,2021-11-23T08:05:40+00:00,https://www.glassdoor.com/,3g,1146,1146,1146,1147,1145,1378,1134,1856,5437,14378,4543,33155,1507,1793,1427,2445,8322,17976,7304,38301,5362,14298,4467,33064,bandwidth,720Mbps,3,0.16,0.35,3512.576,0.02,8287.9735,0.01,16424.33305,0.01,4559,0.77,0.1463085598
