,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue,num_http2_responses,num_http3_responses
0,2021-11-15T16:16:34+00:00,https://www.whatsapp.com/,3g,560,560,560,560,732,773,533,1055,1211,1173,902,1405,1090,1054,774,1297,2425,2395,2114,2646,1203,1165,895,1398,packetLoss,0.60%,2,0.84,0.64,2614.136,0.51,3962.081,0.97,2614.136,1,0,1,0.0137546658,63,0
0,2021-11-15T16:22:58+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1122,1154,1102,1237,4996,6692,4993,10088,1366,1400,1357,1477,7796,10327,7739,15447,4949,6644,4945,10037,packetLoss,0.60%,2,0.15,0.24,3998.457,0,14480.0805,0.02,14371.30578,0,13039.053,0.84,0.1242567952,308,0
0,2021-11-15T16:19:25+00:00,https://www.forbes.com/,3g,1983,1983,1983,1983,51,52,47,59,5022,6635,3688,11196,275,264,242,275,9852,12097,9761,16678,4994,6603,3637,11178,packetLoss,0.60%,2,0.9,0.76,2262.717,0.82,2866.857,0.97,2654.960592,0.95,145,1,0.006669022136,554,0
0,2021-11-15T16:13:03+00:00,https://www.canva.com/,3g,4254,4258,4254,4266,771,783,737,842,3485,3550,3369,3796,1079,1103,1067,1164,3663,3703,3605,3842,3480,3545,3363,3792,packetLoss,0.60%,2,0.5,0.78,2214.532,0.72,3217.878,0.49,5838.0529,0.1,1770,1,0.0009662272135,376,0
0,2021-11-15T16:52:49+00:00,https://www.whatsapp.com/,3g,560,560,560,560,422,423,414,432,755,755,737,772,639,640,624,656,2005,2004,1969,2039,748,748,730,765,packetLoss,0.90%,3,0.81,0.64,2609.459,0.41,4339.68,0.97,2609.459,1,0,1,0.0137546658,60,3
0,2021-11-15T17:00:09+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1178,1376,1166,1785,5022,5025,4633,5419,1823,1850,1574,2154,9609,9442,9103,9615,4973,4977,4589,5370,packetLoss,0.90%,3,0.16,0.3,3705.47,0,10952.887,0.01,14640.33701,0,14008.032,0.83,0.1248207601,188,114
0,2021-11-15T16:56:24+00:00,https://www.forbes.com/,3g,1979,1981,1978,1987,49,48,44,50,4119,8698,3788,18186,275,275,267,283,12093,13773,9808,19419,4097,8673,3766,18157,packetLoss,0.90%,3,0.89,0.76,2263.257,0.84,2790.686,0.96,2747.473528,0.93,168.153,1,0.006258039474,521,20
0,2021-11-15T16:49:58+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,764,697,548,779,4432,4344,4052,4548,1098,1025,875,1102,4766,5025,4292,6018,4429,4340,4049,4542,packetLoss,0.90%,3,0.51,0.8,2145.279,0.7,3289.639,0.59,5250.506061,0.09,1933,1,0.0009662272135,217,155
0,2021-11-15T15:23:34+00:00,https://www.whatsapp.com/,3g,560,560,560,560,461,500,431,609,812,826,733,932,689,713,627,822,2045,2069,1990,2172,805,819,726,925,packetLoss,0.15%,3,0.81,0.64,2604.204,0.41,4329.204,0.97,2604.204,1,0,1,0.0137546658,60,3
0,2021-11-15T15:31:49+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1213,1621,1110,2540,5855,5395,4431,5899,1563,1993,1523,2892,9136,9387,8938,10086,5811,5363,4388,5889,packetLoss,0.15%,3,0.18,0.29,3720.667,0,11661.698,0.04,11951.19414,0,12853.5,1,0.00657430013,211,105
