,timestamp,url,profile,domElements_median,domElements_mean,domElements_min,domElements_max,ttfb_median,ttfb_mean,ttfb_min,ttfb_max,loadEventEnd_median,loadEventEnd_mean,loadEventEnd_min,loadEventEnd_max,firstPaint_median,firstPaint_mean,firstPaint_min,firstPaint_max,fullyLoaded_median,fullyLoaded_mean,fullyLoaded_min,fullyLoaded_max,domComplete_median,domComplete_mean,domComplete_min,domComplete_max,throttleType,throttleparameter,httpVersion,num_http2_responses,num_http3_responses,lighthouse_performance,first-contentful-paint_score,first-contentful-paint_numericValue,largest-contentful-paint_score,largest-contentful-paint_numericValue,speed-index_score,speed-index_numericValue,total-blocking-time_score,total-blocking-time_numericValue,cumulative-layout-shift_score,cumulative-layout-shift_numericValue
0,2021-11-16T13:59:30+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,2113,2310,1298,3518,7714,7603,6454,8641,2543,2702,1694,3868,9812,9723,8552,10804,7642,7535,6386,8578,bandwidth,560Mbps,2,306,0,0.16,0.27,3848.794,0,11666.8265,0.01,14456.202032387782,0,19638.5,0.85,0.1203125
0,2021-11-16T13:55:01+00:00,https://www.forbes.com/,3g,1833,1833,1833,1833,103,102,92,110,751,748,709,783,375,383,367,408,1170,1248,1123,1450,750,747,709,782,bandwidth,560Mbps,2,87,0,0.24,0.31,3645.453,0.23,5242.884,0.04,11987.043961637519,0,7166.428000000007,1,0.017564401626586915
0,2021-11-16T14:04:14+00:00,https://www.live.com/,3g,449,449,449,449,352,337,292,366,3000,3018,2996,3059,755,740,707,759,3314,3331,3310,3369,3000,3018,2996,3059,bandwidth,560Mbps,2,165,0,0.36,0.47,3087.443,0.01,9922.300000000003,0.74,4402.651267943047,0.13,1555.4999999999995,1,0
0,2021-11-16T13:48:21+00:00,https://www.canva.com/,3g,4254,4258,4254,4266,699,769,687,922,4515,4510,4477,4539,1158,1217,1122,1371,4618,4599,4561,4618,4501,4502,4471,4535,bandwidth,560Mbps,2,381,0,0.44,0.75,2289.911,0.61,3610.902,0.39,6552.7183910822205,0.03,2849.000000000001,1,0.0009662272135416666
0,2021-11-16T14:11:24+00:00,https://www.whatsapp.com/,3g,560,560,560,560,607,608,587,630,1070,1071,1038,1104,931,918,884,938,2324,2320,2290,2345,1062,1062,1029,1095,bandwidth,640Mbps,2,63,0,0.81,0.63,2631.914,0.41,4356.914000000001,0.97,2631.914,1,0,1,0.013754665798611112
0,2021-11-16T14:20:20+00:00,https://www.glassdoor.com/,3g,1144,1144,1144,1144,1508,1497,1281,1701,6382,6375,6221,6522,2066,2076,1701,2461,8727,8705,8518,8869,6303,6292,6133,6439,bandwidth,640Mbps,2,303,0,0.14,0.15,4544.924,0,17618.809999999994,0.01,16334.392804654592,0,18937.625999999993,0.84,0.12425679524739584
0,2021-11-16T14:14:29+00:00,https://www.forbes.com/,3g,1976,1975,1972,1976,104,107,88,128,5805,12264,5307,25680,382,361,314,388,17126,25153,17061,41272,5769,12219,5275,25613,bandwidth,640Mbps,2,515,0,0.39,0.97,1381.502,0.55,3822.11,0.06,11106.891029748424,0,6435.000000000005,1,0.01824951171875
0,2021-11-16T14:25:06+00:00,https://www.live.com/,3g,449,449,449,449,306,325,305,364,2969,2844,2505,3059,700,729,697,789,3291,3165,2836,3369,2969,2844,2505,3059,bandwidth,640Mbps,2,165,0,0.38,0.52,2946.1039999999994,0.01,9959.288,0.75,4381.18723646194,0.16,1416.5000000000005,1,0
0,2021-11-16T14:07:41+00:00,https://www.canva.com/,3g,4254,4254,4254,4254,617,665,616,763,4251,4277,4234,4347,1052,1088,1041,1172,4352,4364,4316,4424,4246,4269,4219,4343,bandwidth,640Mbps,2,381,0,0.47,0.78,2217.487,0.72,3225.7580000000007,0.33,6941.544196935238,0.04,2675.500000000003,1,0.0009662272135416666
0,2021-11-16T13:33:49+00:00,https://www.whatsapp.com/,3g,560,560,560,560,507,520,504,548,1000,1014,986,1055,829,836,823,857,2326,2310,2276,2327,991,1004,976,1046,bandwidth,480Mbps,3,60,3,0.81,0.63,2633.708,0.41,4358.708,0.97,2633.708,1,0,1,0.013754665798611112
